City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,
1,Arraial Do Cabo,BR,73.26,light rain,-22.9661,-42.0278,
5,Primorsk,UA,87.24,broken clouds,46.7348,36.3443,
6,Sovetskiy,RU,66.99,broken clouds,61.3614,63.5842,
8,Rikitea,PF,73.11,light rain,-23.1203,-134.9692,
9,Cidreira,BR,62.02,broken clouds,-30.1811,-50.2056,
10,Pedernales,DO,87.42,clear sky,18.0384,-71.744,
11,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,
12,Albany,US,75.67,broken clouds,42.6001,-73.9662,
13,Hamilton,US,81.25,overcast clouds,39.1834,-84.5333,
14,Straumen,NO,73.4,overcast clouds,63.8709,11.2999,
15,Avarua,CK,69.85,clear sky,-21.2078,-159.775,
18,Karachi,PK,82.22,drizzle,24.9056,67.0822,
19,Karema,TZ,73.94,few clouds,-6.8205,30.4389,
20,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,
22,Roma,US,72.95,overcast clouds,43.2128,-75.4557,
25,Bezenchuk,RU,75.04,broken clouds,52.982,49.4333,
27,Saint Anthony,US,82.92,few clouds,45.0205,-93.218,
31,Skhisma,GR,83.84,clear sky,35.2667,25.7167,
33,Komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,
34,Namatanai,PG,78.26,light rain,-3.6667,152.4333,
35,Serov,RU,63.82,light rain,59.6033,60.5787,
36,Tiznit,MA,78.51,clear sky,29.5833,-9.5,
37,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,
43,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,
44,Mwingi,KE,68.83,overcast clouds,-0.9344,38.0601,
46,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,
47,Ponta Do Sol,PT,77.13,scattered clouds,32.6667,-17.1,
48,Gat,IL,83.8,clear sky,31.61,34.7642,
50,Laguna,US,74.95,clear sky,38.421,-121.4238,
51,Oktyabrskoye,RU,75.34,light rain,43.0645,44.7417,
52,Gushikawa,JP,83.43,haze,26.3544,127.8686,
53,Georgetown,MY,82.89,few clouds,5.4112,100.3354,
56,Kimbe,PG,74.34,overcast clouds,-5.5502,150.1429,
57,Santa Rosalia,MX,86.92,overcast clouds,27.3167,-112.2833,
58,Hofn,IS,62.62,haze,64.2539,-15.2082,
60,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,
61,Salisbury,GB,89.8,clear sky,51.0693,-1.7957,
64,Barkhan,PK,86.49,scattered clouds,29.8977,69.5256,
66,Poum,NC,69.57,clear sky,-20.2333,164.0167,
68,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,
70,Kavaratti,IN,81.72,broken clouds,10.5669,72.642,
71,Port Alfred,ZA,62.44,broken clouds,-33.5906,26.891,
72,Avera,US,83.55,overcast clouds,33.194,-82.5271,
73,Santa Cruz,BO,68.05,clear sky,-17.8,-63.1667,
79,Flin Flon,CA,68.2,clear sky,54.7682,-101.865,
82,Ziyang,CN,76.42,overcast clouds,29.2497,117.8547,
83,Jamestown,US,78.03,broken clouds,42.097,-79.2353,
84,Hukuntsi,BW,70.68,clear sky,-24.0,21.75,
85,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,
88,Kuah,MY,80.58,few clouds,6.3265,99.8432,
89,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,
90,Rincon,US,88.95,overcast clouds,32.296,-81.2354,
91,Camacha,PT,72.82,few clouds,33.0833,-16.3333,
92,Thompson,CA,68.92,clear sky,55.7435,-97.8558,
94,Verin,ES,87.57,light rain,41.9415,-7.4381,
97,Catuday,PH,78.01,light rain,16.2923,119.8062,
99,Hilo,US,83.28,light rain,19.7297,-155.09,
101,Yokadouma,CM,75.78,light rain,3.5167,15.05,
102,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,
105,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,
108,Fortuna,US,73.92,clear sky,40.5982,-124.1573,
109,Abu Samrah,SY,80.2,clear sky,35.3029,37.1841,
110,Lasa,IT,77.88,overcast clouds,46.6166,10.7002,
111,Worland,US,87.67,clear sky,44.0169,-107.9554,
112,Mahanoro,MG,66.78,light rain,-19.9,48.8,
113,Kanata,CA,76.62,few clouds,45.3159,-75.8985,
115,Hovd,MN,70.23,overcast clouds,48.0056,91.6419,
116,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,
119,Kapaa,US,77.11,light rain,22.0752,-159.319,
121,Atuona,PF,77.56,scattered clouds,-9.8,-139.0333,
122,Isangel,VU,69.53,broken clouds,-19.55,169.2667,
123,Los Llanos De Aridane,ES,73.15,broken clouds,28.6585,-17.9182,
124,Butaritari,KI,81.01,light rain,3.0707,172.7902,
126,Carballo,ES,83.62,broken clouds,43.213,-8.691,
127,Katobu,ID,73.17,overcast clouds,-4.9408,122.5276,
129,Faanui,PF,75.52,light rain,-16.4833,-151.75,
130,Asfi,MA,73.0,clear sky,32.2994,-9.2372,
134,Peace River,CA,70.32,clear sky,56.2501,-117.286,
139,Kasempa,ZM,68.14,clear sky,-13.4584,25.8338,
140,Ekibastuz,KZ,61.75,heavy intensity rain,51.6667,75.3667,
141,Buala,SB,78.22,light rain,-8.145,159.5921,
143,Faya,SA,69.91,overcast clouds,18.3851,42.4509,
145,Upington,ZA,75.58,clear sky,-28.4478,21.2561,
146,Pacific Grove,US,70.34,clear sky,36.6177,-121.9166,
147,Lompoc,US,76.84,mist,34.6391,-120.4579,
148,Nampula,MZ,75.15,scattered clouds,-15.1165,39.2666,
149,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,
150,Jaciara,BR,71.26,overcast clouds,-15.9653,-54.9683,
151,Bestobe,KZ,65.93,overcast clouds,52.4994,73.0975,
152,Zhanaozen,KZ,87.67,clear sky,43.3,52.8,
153,Road Town,VG,89.69,few clouds,18.4167,-64.6167,
154,Tura,IN,74.89,scattered clouds,25.5198,90.2201,
155,Sayyan,YE,66.31,overcast clouds,15.1718,44.3244,
156,Katsuura,JP,80.47,overcast clouds,35.1333,140.3,
158,Eyl,SO,77.77,overcast clouds,7.9803,49.8164,
160,Summerside,CA,64.47,overcast clouds,46.3959,-63.7876,
161,Port Blair,IN,81.16,overcast clouds,11.6667,92.75,
165,Alofi,NU,64.29,few clouds,-19.0595,-169.9187,
167,Green River,US,83.19,clear sky,41.5286,-109.4662,
168,Lagunas,PE,80.08,broken clouds,-5.2269,-75.6753,
169,Andros Town,BS,87.76,few clouds,24.7,-77.7667,
172,Soe,ID,64.35,broken clouds,-9.8607,124.284,
173,Nikolskoye,RU,69.69,clear sky,59.7035,30.7861,
177,Pingliang,CN,74.43,broken clouds,35.5392,106.6861,
178,Kavieng,PG,79.18,overcast clouds,-2.5744,150.7967,
179,Kahului,US,80.83,clear sky,20.8947,-156.47,
181,At-Bashi,KG,60.17,scattered clouds,41.1702,75.8106,
183,Cockburn Town,TC,81.5,clear sky,21.4612,-71.1419,
185,Torbay,CA,60.58,overcast clouds,47.6666,-52.7314,
186,Rio Grande,BR,64.51,broken clouds,-32.035,-52.0986,
187,Shache,CN,86.72,overcast clouds,38.4167,77.2406,
192,Baft,IR,82.24,broken clouds,29.234,56.6057,
193,Pisco,PE,62.02,mist,-13.7,-76.2167,
194,Sao Filipe,CV,78.98,broken clouds,14.8961,-24.4956,
195,Pueblo Nuevo Solistahuacan,MX,71.01,broken clouds,17.1,-92.8833,
196,Langenburg,DE,83.68,clear sky,49.2544,9.8458,
199,Viedma,AR,60.75,broken clouds,-40.8135,-62.9967,
200,Monte Escobedo,MX,67.93,scattered clouds,22.3,-103.5833,
202,Namwala,ZM,72.45,clear sky,-15.7504,26.4384,
203,Ucluelet,CA,62.1,overcast clouds,48.9329,-125.5528,
204,Bethel,US,83.89,scattered clouds,41.3712,-73.414,
205,Tecoanapa,MX,84.52,overcast clouds,16.5167,-98.75,
206,Milazzo,IT,85.26,broken clouds,38.2212,15.2383,
208,Taltal,CL,64.04,few clouds,-25.4,-70.4833,
209,Mae Sai,TH,72.09,light rain,20.4335,99.8762,
210,General Mamerto Natividad,PH,75.63,overcast clouds,15.6025,121.0515,
212,Vienna,AT,83.7,clear sky,48.2085,16.3721,
215,Vyartsilya,RU,68.61,scattered clouds,62.1764,30.693,
218,Vilhena,BR,73.62,clear sky,-12.7406,-60.1458,
219,Cardston,CA,83.84,overcast clouds,49.2,-113.3019,
222,Pinotepa Nacional,MX,88.48,overcast clouds,16.3167,-98.0167,
223,Chipinge,ZW,61.21,few clouds,-20.1883,32.6236,
225,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,
226,Louga,RU,65.14,few clouds,58.7372,29.8453,
227,Hirara,JP,84.7,clear sky,24.8,125.2833,
228,Skelleftea,SE,73.0,overcast clouds,64.7507,20.9528,
229,Chadan,RU,60.58,broken clouds,51.2833,91.5833,
231,Pershotravneve,UA,65.88,broken clouds,51.3929,28.8684,
232,Nemuro,JP,66.06,overcast clouds,43.3236,145.575,
233,Susanville,US,75.9,clear sky,40.4163,-120.653,
234,Razdolnoye,RU,64.81,light rain,43.55,131.9167,
235,Balabac,PH,80.96,overcast clouds,7.9868,117.0645,
237,Pozo Colorado,PY,68.43,scattered clouds,-23.4923,-58.7972,
238,Progreso,MX,87.12,few clouds,21.2833,-89.6667,
239,Tomigusuku,JP,83.97,haze,26.185,127.675,
244,Szczecin,PL,78.3,scattered clouds,53.4289,14.553,
247,Beloha,MG,71.94,scattered clouds,-25.1667,45.05,
249,Peterborough,GB,87.57,few clouds,52.5736,-0.2478,
250,Gidole,ET,61.54,overcast clouds,5.65,37.3667,
251,Vaitape,PF,75.45,light rain,-16.5167,-151.75,
252,Tolstoy-Yurt,RU,82.72,clear sky,43.4444,45.7722,
253,Bowen,AU,67.15,broken clouds,-20.0167,148.2333,
254,Garowe,SO,84.43,overcast clouds,8.4054,48.4845,
256,Yuli,NG,81.34,light rain,9.6989,10.2744,
257,Erzin,TR,77.54,broken clouds,36.9559,36.2,
259,Canandaigua,US,77.47,broken clouds,42.8742,-77.288,
260,Port Arthur,CN,70.02,few clouds,38.8,121.2667,
261,Develi,TR,81.75,clear sky,38.3906,35.4922,
265,Soubre,CI,81.05,overcast clouds,5.7856,-6.6083,
266,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,
269,Ilhabela,BR,70.09,overcast clouds,-23.7781,-45.3581,
270,Posse,BR,89.26,scattered clouds,-14.0931,-46.3694,
271,Castries,LC,86.13,scattered clouds,13.9957,-61.0061,
273,Paoua,CF,71.71,overcast clouds,7.2427,16.4406,
