City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salalah,OM,2022-08-10 16:30:52,17.0151,54.0924,77.09,100,100,8.05,light intensity drizzle
1,Arraial Do Cabo,BR,2022-08-10 16:30:14,-22.9661,-42.0278,73.26,83,100,10.36,light rain
2,Tuktoyaktuk,CA,2022-08-10 16:30:40,69.4541,-133.0374,43.81,88,100,24.02,light rain
3,Kodiak,US,2022-08-10 16:30:01,57.79,-152.4072,54.91,88,100,6.91,overcast clouds
4,Punta Arenas,CL,2022-08-10 16:38:55,-53.15,-70.9167,44.71,76,0,11.5,clear sky
5,Primorsk,UA,2022-08-10 16:38:55,46.7348,36.3443,87.24,30,70,13.38,broken clouds
6,Sovetskiy,RU,2022-08-10 16:38:56,61.3614,63.5842,66.99,50,66,8.23,broken clouds
7,Hobart,AU,2022-08-10 16:38:56,-42.8794,147.3294,43.27,79,100,6.91,overcast clouds
8,Rikitea,PF,2022-08-10 16:38:57,-23.1203,-134.9692,73.11,80,92,24.18,light rain
9,Cidreira,BR,2022-08-10 16:38:57,-30.1811,-50.2056,62.02,62,75,12.53,broken clouds
10,Pedernales,DO,2022-08-10 16:38:58,18.0384,-71.744,87.42,58,4,8.61,clear sky
11,Makakilo City,US,2022-08-10 16:38:58,21.3469,-158.0858,77.32,67,0,23.02,clear sky
12,Albany,US,2022-08-10 16:38:59,42.6001,-73.9662,75.67,67,58,4.41,broken clouds
13,Hamilton,US,2022-08-10 16:38:59,39.1834,-84.5333,81.25,82,100,5.75,overcast clouds
14,Straumen,NO,2022-08-10 16:39:00,63.8709,11.2999,73.4,72,99,1.5,overcast clouds
15,Avarua,CK,2022-08-10 16:39:00,-21.2078,-159.775,69.85,83,6,3.44,clear sky
16,Fairbanks,US,2022-08-10 16:39:01,64.8378,-147.7164,47.08,86,0,3.44,clear sky
17,Severo-Kurilsk,RU,2022-08-10 16:39:01,50.6789,156.125,54.57,95,97,11.01,overcast clouds
18,Karachi,PK,2022-08-10 16:36:03,24.9056,67.0822,82.22,89,75,3.44,drizzle
19,Karema,TZ,2022-08-10 16:37:23,-6.8205,30.4389,73.94,53,16,3.62,few clouds
20,Hithadhoo,MV,2022-08-10 16:39:02,-0.6,73.0833,82.24,72,66,7.05,broken clouds
21,Qaanaaq,GL,2022-08-10 16:39:02,77.484,-69.3632,37.53,64,3,4.03,clear sky
22,Roma,US,2022-08-10 16:34:56,43.2128,-75.4557,72.95,74,100,3.44,overcast clouds
23,Cape Town,ZA,2022-08-10 16:37:59,-33.9258,18.4232,57.88,92,75,16.11,broken clouds
24,Ushuaia,AR,2022-08-10 16:39:04,-54.8,-68.3,46.02,81,0,2.3,clear sky
25,Bezenchuk,RU,2022-08-10 16:39:05,52.982,49.4333,75.04,53,51,7.85,broken clouds
26,Chumikan,RU,2022-08-10 16:39:05,54.7183,135.315,53.2,96,100,8.12,overcast clouds
27,Saint Anthony,US,2022-08-10 16:39:06,45.0205,-93.218,82.92,63,20,12.66,few clouds
28,Ahipara,NZ,2022-08-10 16:39:06,-35.1667,173.1667,48.7,88,93,6.8,overcast clouds
29,Busselton,AU,2022-08-10 16:39:07,-33.65,115.3333,50.59,83,11,5.26,few clouds
30,Bluff,NZ,2022-08-10 16:39:08,-46.6,168.3333,44.8,67,100,8.28,overcast clouds
31,Skhisma,GR,2022-08-10 16:39:08,35.2667,25.7167,83.84,71,0,17.78,clear sky
32,Constitucion,CL,2022-08-10 16:39:09,-35.3333,-72.4167,56.88,58,0,9.35,clear sky
33,Komsomolskiy,UZ,2022-08-10 16:39:09,40.4272,71.7189,84.92,39,27,2.3,scattered clouds
34,Namatanai,PG,2022-08-10 16:39:10,-3.6667,152.4333,78.26,85,100,5.44,light rain
35,Serov,RU,2022-08-10 16:39:10,59.6033,60.5787,63.82,95,67,3.56,light rain
36,Tiznit,MA,2022-08-10 16:39:11,29.5833,-9.5,78.51,50,0,8.34,clear sky
37,Praia Da Vitoria,PT,2022-08-10 16:39:11,38.7333,-27.0667,77.25,65,20,9.51,few clouds
38,Pevek,RU,2022-08-10 16:39:12,69.7008,170.3133,34.93,97,63,2.19,broken clouds
39,Brandon,US,2022-08-10 16:38:50,27.9378,-82.2859,92.19,73,40,8.05,scattered clouds
40,Mosquera,CO,2022-08-10 16:38:10,4.7059,-74.2302,59.09,72,75,13.8,broken clouds
41,Yellowknife,CA,2022-08-10 16:37:49,62.456,-114.3525,59.56,82,100,13.0,overcast clouds
42,Mataura,NZ,2022-08-10 16:39:14,-46.1927,168.8643,44.47,94,98,1.66,overcast clouds
43,Saint-Philippe,RE,2022-08-10 16:39:15,-21.3585,55.7679,67.59,78,62,16.15,broken clouds
44,Mwingi,KE,2022-08-10 16:39:15,-0.9344,38.0601,68.83,67,98,12.12,overcast clouds
45,Te Anau,NZ,2022-08-10 16:39:16,-45.4167,167.7167,35.37,94,89,3.8,overcast clouds
46,Vaini,TO,2022-08-10 16:39:16,-21.2,-175.2,77.16,94,40,10.36,scattered clouds
47,Ponta Do Sol,PT,2022-08-10 16:39:17,32.6667,-17.1,77.13,68,31,6.71,scattered clouds
48,Gat,IL,2022-08-10 16:39:18,31.61,34.7642,83.8,100,0,9.75,clear sky
49,Mount Isa,AU,2022-08-10 16:39:18,-20.7333,139.5,47.97,53,0,0.0,clear sky
50,Laguna,US,2022-08-10 16:39:19,38.421,-121.4238,74.95,67,0,4.0,clear sky
51,Oktyabrskoye,RU,2022-08-10 16:39:20,43.0645,44.7417,75.34,65,1,4.47,light rain
52,Gushikawa,JP,2022-08-10 16:39:20,26.3544,127.8686,83.43,87,0,4.61,haze
53,Georgetown,MY,2022-08-10 16:37:48,5.4112,100.3354,82.89,81,20,3.44,few clouds
54,Inuvik,CA,2022-08-10 16:39:22,68.3499,-133.7218,46.56,73,89,10.0,overcast clouds
55,Rawson,AR,2022-08-10 16:34:32,-43.3002,-65.1023,55.63,42,100,7.23,overcast clouds
56,Kimbe,PG,2022-08-10 16:36:15,-5.5502,150.1429,74.34,93,96,3.89,overcast clouds
57,Santa Rosalia,MX,2022-08-10 16:39:23,27.3167,-112.2833,86.92,55,97,3.31,overcast clouds
58,Hofn,IS,2022-08-10 16:39:23,64.2539,-15.2082,62.62,45,20,18.41,haze
59,Khatanga,RU,2022-08-10 16:39:24,71.9667,102.5,45.21,72,93,12.55,overcast clouds
60,Bathsheba,BB,2022-08-10 16:34:38,13.2167,-59.5167,88.41,70,20,11.5,few clouds
61,Salisbury,GB,2022-08-10 16:39:31,51.0693,-1.7957,89.8,31,0,8.05,clear sky
62,Okha,RU,2022-08-10 16:39:32,53.5739,142.9478,56.95,89,99,5.66,overcast clouds
63,Henties Bay,NA,2022-08-10 16:39:32,-22.116,14.2845,55.27,89,18,7.29,few clouds
64,Barkhan,PK,2022-08-10 16:39:33,29.8977,69.5256,86.49,52,41,8.68,scattered clouds
65,San Carlos De Bariloche,AR,2022-08-10 16:37:08,-41.1456,-71.3082,40.44,54,100,0.0,fog
66,Poum,NC,2022-08-10 16:39:34,-20.2333,164.0167,69.57,57,0,22.26,clear sky
67,Muzhi,RU,2022-08-10 16:39:34,65.3667,64.6667,52.93,61,40,3.58,scattered clouds
68,Puerto Escondido,MX,2022-08-10 16:38:00,15.85,-97.0667,85.03,70,75,5.75,broken clouds
69,Ayan,RU,2022-08-10 16:39:35,56.45,138.1667,55.02,96,100,6.55,overcast clouds
70,Kavaratti,IN,2022-08-10 16:39:36,10.5669,72.642,81.72,82,80,22.5,broken clouds
71,Port Alfred,ZA,2022-08-10 16:39:36,-33.5906,26.891,62.44,81,84,7.4,broken clouds
72,Avera,US,2022-08-10 16:39:37,33.194,-82.5271,83.55,49,100,9.86,overcast clouds
73,Santa Cruz,BO,2022-08-10 16:39:38,-17.8,-63.1667,68.05,40,0,14.97,clear sky
74,Reykjavik,IS,2022-08-10 16:39:38,64.1355,-21.8954,51.82,76,75,9.22,broken clouds
